,id,icon,site,country,missed,total,missed_count,missed_percent
153,29.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
154,68.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
155,67.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
156,64.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
157,50.espn,http://icon-tmdb.me/stalker_portal/misc/logos/320/13699.png?ver=19438,,espn,True,1.0,1.0,100.0
158,SkyCinemaThriller.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/12182.jpg?51450,,de,True,1.0,1.0,100.0
159,HighStreet5.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/13515.png?64018,,uk,True,1.0,1.0,100.0
160,SkyCinemaPremieren.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6463.jpg?22502,,de,True,1.0,1.0,100.0
161,ITVWales.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12013.jpg?78648,,uk,True,1.0,1.0,100.0
162,IdealWorld.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/13519.png?27008,,uk,True,1.0,1.0,100.0
163,NovaTV.cz,http://logo.protv.cc/picons/logos/nova.png,,cz,True,1.0,1.0,100.0
164,HighStreet4.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/13515.png?64018,,uk,True,1.0,1.0,100.0
165,Yesterday.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12140.jpg?5862,,uk,True,1.0,1.0,100.0
166,MovistarDeportes2.es,http://icon-tmdb.me/stalker_portal/misc/logos/320/10581.png?10706,,es,True,1.0,1.0,100.0
167,CT4Sport.cz,http://logo.protv.cc/picons/logos/ctsport.png,,cz,True,1.0,1.0,100.0
168,CT2.cz,http://logo.protv.cc/picons/logos/ct2.png,,cz,True,1.0,1.0,100.0
169,NovaInternational.cz,http://logo.protv.cc/picons/logos/novainternational.png,,cz,True,1.0,1.0,100.0
170,VT24.cz,http://icon-tmdb.me/stalker_portal/misc/logos/320/10102.jpg?9282,,cz,True,1.0,1.0,100.0
171,CraftExtra.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/13017.jpg?81719,,uk,True,1.0,1.0,100.0
172,W.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/12784.jpg?95632,,uk,True,1.0,1.0,100.0
173,Eurosport1.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/615.jpg?37956,,uk,True,1.0,1.0,100.0
174,DisneyChannel.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/634.jpg?34404,,uk,True,1.0,1.0,100.0
175,NatGeo.cz,http://logo.protv.cc/picons/logos/natgeo.png,,cz,True,1.0,1.0,100.0
176,CT24.cz,http://logo.protv.cc/picons/logos/ct24.png,,cz,True,1.0,1.0,100.0
177,FoxCrime.tr,http://icon-tmdb.me/stalker_portal/misc/logos/320/6690.png?ver=48891,,tr,True,1.0,1.0,100.0
178,EEntertainment.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6000.jpg?39117,,de,True,1.0,1.0,100.0
179,InsightTV.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6607.jpg?8916,,de,True,1.0,1.0,100.0
180,DiscoveryScience.tr,http://icon-tmdb.me/stalker_portal/misc/logos/320/620.jpg?70052,,tr,True,1.0,1.0,100.0
181,Motorvision TV.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/11240.jpg?29914,,de,True,1.0,1.0,100.0
182,DiscoveryIDXtra.tr,http://icon-tmdb.me/stalker_portal/misc/logos/320/7937.jpg?76162,,tr,True,1.0,1.0,100.0
183,Powerturk.tr,http://icon-tmdb.me/stalker_portal/misc/logos/320/838.jpg?74532,,tr,True,1.0,1.0,100.0
184,AnimalPlanet.tr,http://icon-tmdb.me/stalker_portal/misc/logos/320/626.png?63163,,tr,True,1.0,1.0,100.0
185,Trinity.tt,http://logo.protv.cc/picons/logos/TRINITY-TV.jpeg,,tt,True,1.0,1.0,100.0
186,SkyCinemaPremierenPlus24.de,http://icon-tmdb.me/stalker_portal/misc/logos/320/6463.jpg?22502,,de,True,1.0,1.0,100.0
187,BritAsiaTV.uk,http://logo.protv.cc/picons/logos/in.britasiatv.png,,uk,True,1.0,1.0,100.0
188,JMLDirect.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/13018.jpg?19240,,uk,True,1.0,1.0,100.0
189,CBSReality.uk,http://icon-tmdb.me/stalker_portal/misc/logos/320/8290.jpg?37614,,uk,True,1.0,1.0,100.0
